text,sentiment
like good good like neutral bad bad bad like good like,neutral
terrible good terrible awesome good good good bad,positive
terrible terrible good terrible bad like like like terrible awesome bad awesome,neutral
neutral hate hate good hate hate bad like awesome,negative
neutral bad bad hate neutral good good awesome good neutral hate,negative
terrible neutral hate good like awesome terrible good awesome good terrible neutral hate like,neutral
hate neutral terrible bad like good good,neutral
bad hate neutral good hate bad hate good awesome neutral awesome,neutral
hate neutral bad neutral neutral bad like neutral like like like good,neutral
like bad terrible like bad bad awesome awesome neutral,neutral
like terrible bad like neutral hate hate hate,positive
bad hate good hate neutral awesome neutral good bad terrible like neutral,positive
like awesome awesome like awesome bad neutral bad bad like terrible terrible,negative
like terrible awesome terrible awesome neutral bad,positive
terrible awesome good hate good hate good bad like bad,neutral
awesome terrible good awesome awesome terrible awesome terrible neutral,neutral
hate good like like good like,neutral
hate neutral hate like neutral good neutral awesome bad awesome good like,neutral
neutral terrible hate bad terrible good hate like neutral hate,neutral
terrible terrible bad bad neutral hate,positive
terrible hate terrible good terrible neutral awesome good good,negative
hate hate neutral bad good,positive
terrible good good like awesome hate good hate terrible hate bad bad like awesome,neutral
bad neutral terrible hate terrible awesome bad terrible hate like,neutral
bad like neutral awesome like like neutral awesome terrible awesome good bad bad,positive
neutral good terrible terrible bad,neutral
bad good good like like good bad good good hate neutral good terrible bad,negative
like awesome bad terrible bad like terrible,neutral
awesome bad hate awesome hate awesome bad good good like awesome,negative
awesome awesome awesome hate like good like like,neutral
good good awesome like neutral hate hate good bad bad bad terrible awesome,positive
awesome bad neutral awesome bad hate good,negative
hate hate hate terrible good good like terrible hate,positive
good hate hate bad bad awesome awesome,negative
bad hate awesome good bad awesome good awesome neutral hate hate,negative
neutral awesome like like hate terrible like like awesome,positive
bad neutral bad good terrible like terrible good like neutral good good terrible,negative
terrible hate terrible bad good terrible good hate bad good terrible,positive
like hate bad awesome good terrible,positive
terrible terrible good terrible good awesome like terrible,neutral
terrible neutral neutral bad like like neutral bad neutral awesome bad like like,negative
awesome neutral hate good good awesome,neutral
terrible good good terrible bad terrible neutral bad neutral good bad neutral neutral bad,negative
hate terrible like neutral terrible hate like terrible good like hate terrible neutral,neutral
good bad neutral good good like terrible bad neutral neutral terrible bad like neutral,positive
like like hate neutral terrible awesome neutral hate good,positive
like awesome hate neutral good good,negative
hate bad like neutral bad like awesome terrible,neutral
awesome terrible good good good like bad terrible good hate neutral,neutral
terrible bad awesome bad good neutral neutral hate hate good neutral bad,neutral
bad like good neutral hate terrible hate,negative
terrible like bad bad hate,positive
hate hate bad awesome good bad like neutral,negative
hate like hate like hate bad,negative
bad hate like good awesome hate good hate awesome bad bad hate,negative
neutral neutral hate hate hate bad bad good,neutral
bad awesome neutral neutral hate good,negative
neutral like terrible awesome like hate terrible neutral good good,negative
